,sced_time_stamp,resource_type,hsl,lsl
0,2021-02-11 00:00:23,CCGT90,1640.0,977.0
1,2021-02-11 00:00:23,CCLE90,57.0,6.0
2,2021-02-11 00:00:23,CLLIG,1999.0,576.0
3,2021-02-11 00:00:23,GSNONR,97.0,30.0
4,2021-02-11 00:00:23,GSREH,1579.0,326.0
5,2021-02-11 00:00:23,GSSUP,1252.0,188.0
6,2021-02-11 00:00:23,HYDRO,102.0,37.0
7,2021-02-11 00:00:23,PVGR,0.0,0.0
8,2021-02-11 00:00:23,PWRSTR,144.0,0.2
9,2021-02-11 00:00:23,SCGT90,236.0,150.0
10,2021-02-11 00:00:23,SCLE90,822.6999999999998,408.19999999999993
11,2021-02-11 00:00:23,WIND,0.0,0.0
12,2021-02-11 00:15:15,CCGT90,1641.0,977.0
13,2021-02-11 00:15:15,CCLE90,57.0,6.0
14,2021-02-11 00:15:15,CLLIG,1999.0,576.0
15,2021-02-11 00:15:15,GSNONR,97.0,30.0
16,2021-02-11 00:15:15,GSREH,1579.0,326.0
17,2021-02-11 00:15:15,GSSUP,1252.0,188.0
18,2021-02-11 00:15:15,HYDRO,102.0,37.0
19,2021-02-11 00:15:15,PVGR,0.0,0.0
20,2021-02-11 00:15:15,PWRSTR,144.0,0.2
21,2021-02-11 00:15:15,SCGT90,237.0,150.0
22,2021-02-11 00:15:15,SCLE90,822.6999999999998,408.19999999999993
23,2021-02-11 00:15:15,WIND,0.0,0.0
24,2021-02-11 00:30:15,CCGT90,2009.0,1104.0
25,2021-02-11 00:30:15,CCLE90,57.0,6.0
26,2021-02-11 00:30:15,CLLIG,1261.0,318.0
27,2021-02-11 00:30:15,GSNONR,97.0,30.0
28,2021-02-11 00:30:15,GSREH,1579.0,326.0
29,2021-02-11 00:30:15,GSSUP,1252.0,188.0
30,2021-02-11 00:30:15,HYDRO,102.0,37.0
31,2021-02-11 00:30:15,PVGR,0.0,0.0
32,2021-02-11 00:30:15,PWRSTR,144.0,0.2
33,2021-02-11 00:30:15,SCGT90,237.0,150.0
34,2021-02-11 00:30:15,SCLE90,822.6999999999998,408.19999999999993
35,2021-02-11 00:30:15,WIND,0.0,0.0
36,2021-02-11 00:45:16,CCGT90,2009.0,1104.0
37,2021-02-11 00:45:16,CCLE90,57.0,6.0
38,2021-02-11 00:45:16,CLLIG,1261.0,318.0
39,2021-02-11 00:45:16,GSNONR,97.0,30.0
40,2021-02-11 00:45:16,GSREH,1579.0,326.0
41,2021-02-11 00:45:16,GSSUP,1252.0,188.0
42,2021-02-11 00:45:16,HYDRO,102.0,37.0
43,2021-02-11 00:45:16,PVGR,0.0,0.0
44,2021-02-11 00:45:16,PWRSTR,144.0,0.2
45,2021-02-11 00:45:16,SCGT90,237.0,150.0
46,2021-02-11 00:45:16,SCLE90,822.6999999999998,408.19999999999993
47,2021-02-11 00:45:16,WIND,0.0,0.0
48,2021-02-11 01:00:21,CCGT90,2009.0,1104.0
49,2021-02-11 01:00:21,CCLE90,57.0,6.0
50,2021-02-11 01:00:21,CLLIG,1261.0,318.0
51,2021-02-11 01:00:21,GSNONR,97.0,30.0
52,2021-02-11 01:00:21,GSREH,1579.0,326.0
53,2021-02-11 01:00:21,GSSUP,1252.0,188.0
54,2021-02-11 01:00:21,HYDRO,102.0,37.0
55,2021-02-11 01:00:21,PVGR,0.0,0.0
56,2021-02-11 01:00:21,PWRSTR,144.0,0.2
57,2021-02-11 01:00:21,SCGT90,237.0,150.0
58,2021-02-11 01:00:21,SCLE90,822.8999999999999,408.3999999999999
59,2021-02-11 01:00:21,WIND,0.0,0.0
60,2021-02-11 01:15:14,CCGT90,2009.0,1104.0
61,2021-02-11 01:15:14,CCLE90,57.0,6.0
62,2021-02-11 01:15:14,CLLIG,1261.0,318.0
63,2021-02-11 01:15:14,GSNONR,97.0,30.0
